uuid,省,市,区县,网点名称,地址,开办业务,邮编,页面URL,抓取状态
50147,湖北省,襄阳市,襄城区,建锦路邮政所,襄阳市襄城区建锦路23号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,441021,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50147,OK
50148,湖北省,襄阳市,襄城区,运动路邮政所,襄阳市襄城区运动路20号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,441021,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50148,OK
50149,湖北省,襄阳市,襄城区,檀溪邮政所,襄阳市襄城檀溪路374号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,441022,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50149,OK
50150,湖北省,襄阳市,襄城区,六0九邮政所,襄阳市襄城区隆中路290号,信件、印刷品、包裹、邮政汇兑、报刊订阅,441052,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50150,OK
50151,湖北省,襄阳市,襄城区,隆中邮政所,襄阳市襄城区湖北文理学院内,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,441053,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50151,OK
50152,湖北省,襄阳市,樊城区,长虹北路邮政支局,长虹北路38号营业厅,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,441057,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50152,OK
50153,湖北省,襄阳市,樊城区,春园路邮政所,襄阳市樊城春园路10号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,441003,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50153,OK
50154,湖北省,襄阳市,樊城区,建设路邮政所,襄阳市樊城区建设路九悦天城一楼,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,441000,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50154,OK
50155,湖北省,襄阳市,襄城区,卧龙邮政支局,襄阳市襄城区卧龙镇中街46号,信件、印刷品、包裹、邮政汇兑、报刊订阅,441054,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50155,OK
50156,湖北省,襄阳市,襄城区,欧庙邮政支局,湖北省襄阳市襄城区欧庙建设大道南50米,信件、印刷品、包裹、邮政汇兑、报刊订阅,441048,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50156,OK
50157,湖北省,襄阳市,樊城区,太平店邮政支局,襄阳市樊城区化纤路92号,信件、印刷品、包裹、邮政汇兑、报刊订阅,441031,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50157,OK
50158,湖北省,襄阳市,樊城区,朱坡邮政支局,襄阳市樊城区朱坡街迎旭路159号,信件、印刷品、包裹、邮政汇兑、报刊订阅,441032,https://zwfw.spb.gov.cn/gjj/pfyycsml/pfyycsmlDetail?uuid=50158,OK
